Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.backbone.k,config.model.backbone.moe_ratio,config.model.backbone.num_experts,has_dropout,has_weight_decay
adult,4.0,96.0,0.17812919221082749,0.0012003938513477537,0.0016188753243896825,3.0,0.25,12.0,1.0,1.0
black-friday,2.0,512.0,0.45794484091234106,0.0002547767968225359,0.0,4.0,0.5,12.0,1.0,0.0
california,1.0,896.0,0.17392953318031878,0.0009947821734258146,0.0024793749621408014,4.0,1.0,32.0,1.0,1.0
churn,1.0,224.0,0.2864466913203585,0.0018797903709602472,0.00019049701526925724,3.0,0.5,4.0,1.0,1.0
covtype2,3.0,512.0,0.32077480504547506,0.0008094390800507123,0.00023949421211710302,4.0,0.5,20.0,1.0,1.0
diamond,4.0,352.0,0.0,0.0007495350911381734,0.0,4.0,0.5,8.0,0.0,0.0
higgs-small,3.0,560.0,0.0,0.0016752567851901947,0.04970284945663072,3.0,0.75,24.0,0.0,1.0
house,1.0,288.0,0.19206582917184953,0.00019832799483991077,0.0,4.0,0.25,4.0,1.0,0.0
microsoft,4.0,272.0,0.14439209386586002,0.00013976627386057974,0.05948555712761887,4.0,0.75,12.0,1.0,1.0
otto,2.0,800.0,0.4702683300894907,0.0003132327132740685,0.0,2.0,0.25,28.0,1.0,0.0
AVERAGE,2.5,451.2,0.2223951315796521,0.000821530113090999,0.011371664809816643,3.5,0.525,15.6,0.8,0.6
