,function,gpus,n_parameters,prediction_type,epoch_size,best_step,time,chunk_size,eval_batch_size,config.seed,config.batch_size,config.patience,config.n_epochs,config.gradient_clipping_norm,config.amp,config.data.cache,config.data.path,config.data.num_policy,config.data.cat_policy,config.optimizer.type,config.optimizer.lr,config.optimizer.weight_decay,config.model.arch_type,config.model.backbone.k,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.model.backbone.moe_ratio,config.model.backbone.num_experts,config.model.num_embeddings.type,config.model.num_embeddings.d_embedding,config.bins.n_bins,metrics.train.rmse,metrics.train.mae,metrics.train.r2,metrics.train.score,metrics.val.rmse,metrics.val.mae,metrics.val.r2,metrics.val.score,metrics.test.rmse,metrics.test.mae,metrics.test.r2,metrics.test.score,metrics.train.0.precision,metrics.train.0.recall,metrics.train.0.f1-score,metrics.train.0.support,metrics.train.1.precision,metrics.train.1.recall,metrics.train.1.f1-score,metrics.train.1.support,metrics.train.accuracy,metrics.train.macro avg.precision,metrics.train.macro avg.recall,metrics.train.macro avg.f1-score,metrics.train.macro avg.support,metrics.train.weighted avg.precision,metrics.train.weighted avg.recall,metrics.train.weighted avg.f1-score,metrics.train.weighted avg.support,metrics.train.cross-entropy,metrics.train.roc-auc,metrics.val.0.precision,metrics.val.0.recall,metrics.val.0.f1-score,metrics.val.0.support,metrics.val.1.precision,metrics.val.1.recall,metrics.val.1.f1-score,metrics.val.1.support,metrics.val.accuracy,metrics.val.macro avg.precision,metrics.val.macro avg.recall,metrics.val.macro avg.f1-score,metrics.val.macro avg.support,metrics.val.weighted avg.precision,metrics.val.weighted avg.recall,metrics.val.weighted avg.f1-score,metrics.val.weighted avg.support,metrics.val.cross-entropy,metrics.val.roc-auc,metrics.test.0.precision,metrics.test.0.recall,metrics.test.0.f1-score,metrics.test.0.support,metrics.test.1.precision,metrics.test.1.recall,metrics.test.1.f1-score,metrics.test.1.support,metrics.test.accuracy,metrics.test.macro avg.precision,metrics.test.macro avg.recall,metrics.test.macro avg.f1-score,metrics.test.macro avg.support,metrics.test.weighted avg.precision,metrics.test.weighted avg.recall,metrics.test.weighted avg.f1-score,metrics.test.weighted avg.support,metrics.test.cross-entropy,metrics.test.roc-auc,metrics.train.2.precision,metrics.train.2.recall,metrics.train.2.f1-score,metrics.train.2.support,metrics.train.3.precision,metrics.train.3.recall,metrics.train.3.f1-score,metrics.train.3.support,metrics.train.4.precision,metrics.train.4.recall,metrics.train.4.f1-score,metrics.train.4.support,metrics.train.5.precision,metrics.train.5.recall,metrics.train.5.f1-score,metrics.train.5.support,metrics.train.6.precision,metrics.train.6.recall,metrics.train.6.f1-score,metrics.train.6.support,metrics.train.7.precision,metrics.train.7.recall,metrics.train.7.f1-score,metrics.train.7.support,metrics.train.8.precision,metrics.train.8.recall,metrics.train.8.f1-score,metrics.train.8.support,metrics.val.2.precision,metrics.val.2.recall,metrics.val.2.f1-score,metrics.val.2.support,metrics.val.3.precision,metrics.val.3.recall,metrics.val.3.f1-score,metrics.val.3.support,metrics.val.4.precision,metrics.val.4.recall,metrics.val.4.f1-score,metrics.val.4.support,metrics.val.5.precision,metrics.val.5.recall,metrics.val.5.f1-score,metrics.val.5.support,metrics.val.6.precision,metrics.val.6.recall,metrics.val.6.f1-score,metrics.val.6.support,metrics.val.7.precision,metrics.val.7.recall,metrics.val.7.f1-score,metrics.val.7.support,metrics.val.8.precision,metrics.val.8.recall,metrics.val.8.f1-score,metrics.val.8.support,metrics.test.2.precision,metrics.test.2.recall,metrics.test.2.f1-score,metrics.test.2.support,metrics.test.3.precision,metrics.test.3.recall,metrics.test.3.f1-score,metrics.test.3.support,metrics.test.4.precision,metrics.test.4.recall,metrics.test.4.f1-score,metrics.test.4.support,metrics.test.5.precision,metrics.test.5.recall,metrics.test.5.f1-score,metrics.test.5.support,metrics.test.6.precision,metrics.test.6.recall,metrics.test.6.f1-score,metrics.test.6.support,metrics.test.7.precision,metrics.test.7.recall,metrics.test.7.f1-score,metrics.test.7.support,metrics.test.8.precision,metrics.test.8.recall,metrics.test.8.f1-score,metrics.test.8.support,Dataset
0,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,2040,0:00:55.806056,,32768,7,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.12449289815440734,0.06806989014148712,0.9844283449288539,-0.12449289815440734,0.1310854283079728,0.07113700360059738,0.9832148167673231,-0.1310854283079728,0.13697444982590515,0.07186032831668854,0.9811626573337036,-0.13697444982590515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
1,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,1836,0:00:53.965009,,32768,6,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.12586408221524878,0.06750686466693878,0.9840834377035588,-0.12586408221524878,0.13066395359006255,0.07037445902824402,0.9833225823722255,-0.13066395359006255,0.13542646974757575,0.07077598571777344,0.9815860222168181,-0.13542646974757575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
2,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,2652,0:01:10.097076,,32768,5,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.12049964169170997,0.06468874216079712,0.9854112808732273,-0.12049964169170997,0.13165589507195696,0.07037150114774704,0.9830684035099946,-0.13165589507195696,0.13809930097348141,0.07098524272441864,0.9808519999593505,-0.13809930097348141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
3,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,2176,0:01:00.443042,,32768,11,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.12236411786231047,0.06571346521377563,0.9849563293803599,-0.12236411786231047,0.12985233436879726,0.07000650465488434,0.9835291216646928,-0.12985233436879726,0.13592272354801294,0.07055183500051498,0.9814508261333524,-0.13592272354801294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
4,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,1904,0:00:55.849947,,32768,2,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.12569241674320344,0.06602305173873901,0.9841268239087878,-0.12569241674320344,0.1321949485727358,0.06981678307056427,0.9829294703924633,-0.1321949485727358,0.1367697416309426,0.06981255114078522,0.9812189227159849,-0.1367697416309426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
5,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,1360,0:00:45.950791,,32768,14,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.12831528623308647,0.06769001483917236,0.9834574510288351,-0.12831528623308647,0.1301779441339022,0.06930214166641235,0.9834464171309681,-0.1301779441339022,0.13486956306207842,0.06940706819295883,0.9817371579012503,-0.13486956306207842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
6,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,2448,0:01:04.878496,,32768,10,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.11990168087694189,0.06330607086420059,0.9855557109858047,-0.11990168087694189,0.13115287008059193,0.06957539170980453,0.9831975418610864,-0.13115287008059193,0.13703017868353964,0.06970682740211487,0.9811473273573973,-0.13703017868353964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
7,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,1700,0:00:52.138199,,32768,8,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.1280600415105982,0.06998980045318604,0.9835231966851667,-0.1280600415105982,0.13286266361281768,0.07345866411924362,0.982756590248822,-0.13286266361281768,0.1372595377740945,0.07313523441553116,0.9810841633770548,-0.1372595377740945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
8,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,1768,0:00:51.146986,,32768,12,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.12558675679700465,0.06532609462738037,0.9841535016214678,-0.12558675679700465,0.13194242344808704,0.0691162496805191,0.9829946259584648,-0.13194242344808704,0.1353526391981492,0.0688902735710144,0.9816060953823091,-0.1353526391981492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
9,bin.model.main,['NVIDIA GeForce RTX 4090'],4063233,labels,68,2448,0:01:05.706563,,32768,3,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0007495350911381734,0.0,moe-sparse,4,4,352,0.0,0.5,8,PiecewiseLinearEmbeddingsV2,28,119,0.12103624670557163,0.06270080804824829,0.9852810590915279,-0.12103624670557163,0.1320464325814943,0.06859523057937622,0.982967807850436,-0.1320464325814943,0.13894285670124523,0.06926493346691132,0.9806173592899052,-0.13894285670124523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
