,function,gpus,n_parameters,prediction_type,epoch_size,best_step,time,chunk_size,eval_batch_size,config.seed,config.batch_size,config.patience,config.n_epochs,config.gradient_clipping_norm,config.amp,config.data.cache,config.data.path,config.data.num_policy,config.data.cat_policy,config.optimizer.type,config.optimizer.lr,config.optimizer.weight_decay,config.model.arch_type,config.model.backbone.k,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.model.backbone.moe_ratio,config.model.backbone.num_experts,config.model.num_embeddings.type,config.model.num_embeddings.d_embedding,config.bins.n_bins,metrics.train.rmse,metrics.train.mae,metrics.train.r2,metrics.train.score,metrics.val.rmse,metrics.val.mae,metrics.val.r2,metrics.val.score,metrics.test.rmse,metrics.test.mae,metrics.test.r2,metrics.test.score,metrics.train.0.precision,metrics.train.0.recall,metrics.train.0.f1-score,metrics.train.0.support,metrics.train.1.precision,metrics.train.1.recall,metrics.train.1.f1-score,metrics.train.1.support,metrics.train.accuracy,metrics.train.macro avg.precision,metrics.train.macro avg.recall,metrics.train.macro avg.f1-score,metrics.train.macro avg.support,metrics.train.weighted avg.precision,metrics.train.weighted avg.recall,metrics.train.weighted avg.f1-score,metrics.train.weighted avg.support,metrics.train.cross-entropy,metrics.train.roc-auc,metrics.val.0.precision,metrics.val.0.recall,metrics.val.0.f1-score,metrics.val.0.support,metrics.val.1.precision,metrics.val.1.recall,metrics.val.1.f1-score,metrics.val.1.support,metrics.val.accuracy,metrics.val.macro avg.precision,metrics.val.macro avg.recall,metrics.val.macro avg.f1-score,metrics.val.macro avg.support,metrics.val.weighted avg.precision,metrics.val.weighted avg.recall,metrics.val.weighted avg.f1-score,metrics.val.weighted avg.support,metrics.val.cross-entropy,metrics.val.roc-auc,metrics.test.0.precision,metrics.test.0.recall,metrics.test.0.f1-score,metrics.test.0.support,metrics.test.1.precision,metrics.test.1.recall,metrics.test.1.f1-score,metrics.test.1.support,metrics.test.accuracy,metrics.test.macro avg.precision,metrics.test.macro avg.recall,metrics.test.macro avg.f1-score,metrics.test.macro avg.support,metrics.test.weighted avg.precision,metrics.test.weighted avg.recall,metrics.test.weighted avg.f1-score,metrics.test.weighted avg.support,metrics.test.cross-entropy,metrics.test.roc-auc,metrics.train.2.precision,metrics.train.2.recall,metrics.train.2.f1-score,metrics.train.2.support,metrics.train.3.precision,metrics.train.3.recall,metrics.train.3.f1-score,metrics.train.3.support,metrics.train.4.precision,metrics.train.4.recall,metrics.train.4.f1-score,metrics.train.4.support,metrics.train.5.precision,metrics.train.5.recall,metrics.train.5.f1-score,metrics.train.5.support,metrics.train.6.precision,metrics.train.6.recall,metrics.train.6.f1-score,metrics.train.6.support,metrics.train.7.precision,metrics.train.7.recall,metrics.train.7.f1-score,metrics.train.7.support,metrics.train.8.precision,metrics.train.8.recall,metrics.train.8.f1-score,metrics.train.8.support,metrics.val.2.precision,metrics.val.2.recall,metrics.val.2.f1-score,metrics.val.2.support,metrics.val.3.precision,metrics.val.3.recall,metrics.val.3.f1-score,metrics.val.3.support,metrics.val.4.precision,metrics.val.4.recall,metrics.val.4.f1-score,metrics.val.4.support,metrics.val.5.precision,metrics.val.5.recall,metrics.val.5.f1-score,metrics.val.5.support,metrics.val.6.precision,metrics.val.6.recall,metrics.val.6.f1-score,metrics.val.6.support,metrics.val.7.precision,metrics.val.7.recall,metrics.val.7.f1-score,metrics.val.7.support,metrics.val.8.precision,metrics.val.8.recall,metrics.val.8.f1-score,metrics.val.8.support,metrics.test.2.precision,metrics.test.2.recall,metrics.test.2.f1-score,metrics.test.2.support,metrics.test.3.precision,metrics.test.3.recall,metrics.test.3.f1-score,metrics.test.3.support,metrics.test.4.precision,metrics.test.4.recall,metrics.test.4.f1-score,metrics.test.4.support,metrics.test.5.precision,metrics.test.5.recall,metrics.test.5.f1-score,metrics.test.5.support,metrics.test.6.precision,metrics.test.6.recall,metrics.test.6.f1-score,metrics.test.6.support,metrics.test.7.precision,metrics.test.7.recall,metrics.test.7.f1-score,metrics.test.7.support,metrics.test.8.precision,metrics.test.8.recall,metrics.test.8.f1-score,metrics.test.8.support,Dataset
0,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,1904,0:01:02.098519,,32768,7,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.12955500170985843,0.06812587380409241,0.9831362556989801,-0.12955500170985843,0.13130815614000124,0.06918958574533463,0.9831577282774051,-0.13130815614000124,0.1354894411945553,0.069456547498703,0.9815688951050844,-0.1354894411945553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
1,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,3740,0:01:39.989976,,32768,6,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.12111701664903037,0.06442851573228836,0.9852614087610638,-0.12111701664903037,0.1308257216266169,0.0689532682299614,0.983281261726736,-0.1308257216266169,0.1341172668657675,0.06904193013906479,0.981940327237771,-0.1341172668657675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
2,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,2788,0:01:20.506301,,32768,5,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.12657112457182526,0.06780065596103668,0.983904113158647,-0.12657112457182526,0.1290957474084236,0.06922890245914459,0.9837204968293513,-0.1290957474084236,0.1345993619660677,0.07011717557907104,0.9818102582670357,-0.1345993619660677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
3,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,2040,0:01:04.517137,,32768,11,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.12916050025874518,0.06861194223165512,0.9832388002516209,-0.12916050025874518,0.13254643886017287,0.07029091566801071,0.9828385745583853,-0.13254643886017287,0.13558644341077963,0.0699460431933403,0.9815424934866092,-0.13558644341077963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
4,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,4420,0:01:54.550657,,32768,2,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.12107325965044863,0.06406118720769882,0.9852720554003557,-0.12107325965044863,0.12987559879319144,0.06873885542154312,0.9835232199515649,-0.12987559879319144,0.13353531156059137,0.06897382438182831,0.982096713806846,-0.13353531156059137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
5,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,2924,0:01:23.388090,,32768,14,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.12650986830994435,0.06672632694244385,0.9839196875792952,-0.12650986830994435,0.1288108689553335,0.06809832155704498,0.9837922661743334,-0.1288108689553335,0.13384636118379356,0.06886503845453262,0.9820132134938381,-0.13384636118379356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
6,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,1768,0:00:59.260674,,32768,10,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.1316294218214519,0.06835567951202393,0.9825918911747988,-0.1316294218214519,0.13101149016232155,0.06889570504426956,0.9832337479539924,-0.13101149016232155,0.1370473251244048,0.06947164982557297,0.9811426093856201,-0.1370473251244048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
7,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,2652,0:01:17.448050,,32768,8,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.12664214706918206,0.06824127584695816,0.9838860421581248,-0.12664214706918206,0.1291994099172272,0.06962715089321136,0.9836943429319859,-0.1291994099172272,0.1339700268550432,0.07025489211082458,0.9819799605481179,-0.1339700268550432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
8,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,2992,0:01:24.478400,,32768,12,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.1273459738554756,0.06740599870681763,0.983706433459576,-0.1273459738554756,0.13128356362528618,0.06968466192483902,0.9831640349738902,-0.13128356362528618,0.13562415500676483,0.0698438361287117,0.9815322248000342,-0.13562415500676483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
9,bin.model.main,['NVIDIA GeForce RTX 4090'],405921,labels,68,3264,0:01:30.299255,,32768,3,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.001322309222077499,0.0,moe-sparse-shared,2,4,80,0.0,0.25,24,PiecewiseLinearEmbeddingsV2,32,114,0.1255711382129895,0.06654586642980576,0.9841574420315834,-0.1255711382129895,0.1295314855768986,0.06910031288862228,0.9836104135230602,-0.1295314855768986,0.13376550397409606,0.06891720741987228,0.9820349354822399,-0.13376550397409606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
