Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.backbone.k,config.model.backbone.moe_ratio,config.model.backbone.num_experts,has_dropout,has_weight_decay
adult,1.0,176.0,0.1162460949545418,0.00030711369682379726,0.0,3.0,0.75,16.0,1.0,0.0
black-friday,3.0,880.0,0.2822417234076237,0.00019563798775380485,0.0049725173369397566,4.0,1.0,4.0,1.0,1.0
california,3.0,448.0,0.2978627676545188,0.0016401971938339757,0.0,3.0,1.0,4.0,1.0,0.0
churn,5.0,208.0,0.02872926356759864,0.00013265652157099195,0.00010164815282302594,4.0,0.75,4.0,1.0,1.0
covtype2,3.0,592.0,0.07538773508429886,0.00025718641018748626,0.0008889589154374383,3.0,0.25,12.0,1.0,1.0
diamond,5.0,704.0,0.00970648809958686,0.0008612019332458145,0.016296511991482788,4.0,0.5,4.0,1.0,1.0
higgs-small,4.0,656.0,0.38525345991338555,0.0003070152829740401,0.0002528399606653546,4.0,0.25,4.0,1.0,1.0
house,2.0,720.0,0.08513851634543684,0.00015504188258112144,0.010787369853443342,4.0,1.0,8.0,1.0,1.0
microsoft,1.0,784.0,0.1723778815361063,0.00011446481100006537,0.0,3.0,0.5,4.0,1.0,0.0
otto,2.0,832.0,0.48234583879181137,0.0003773791701581441,0.0,2.0,0.75,8.0,1.0,0.0
AVERAGE,2.9,600.0,0.19352897693549087,0.00043478948901292416,0.0033299846210791705,3.4,0.675,6.8,1.0,0.6
