,function,gpus,n_parameters,prediction_type,epoch_size,best_step,time,chunk_size,eval_batch_size,config.seed,config.batch_size,config.patience,config.n_epochs,config.gradient_clipping_norm,config.amp,config.data.cache,config.data.path,config.data.num_policy,config.data.cat_policy,config.optimizer.type,config.optimizer.lr,config.optimizer.weight_decay,config.model.arch_type,config.model.backbone.k,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.model.backbone.moe_ratio,config.model.backbone.num_experts,metrics.train.rmse,metrics.train.mae,metrics.train.r2,metrics.train.score,metrics.val.rmse,metrics.val.mae,metrics.val.r2,metrics.val.score,metrics.test.rmse,metrics.test.mae,metrics.test.r2,metrics.test.score,metrics.train.0.precision,metrics.train.0.recall,metrics.train.0.f1-score,metrics.train.0.support,metrics.train.1.precision,metrics.train.1.recall,metrics.train.1.f1-score,metrics.train.1.support,metrics.train.accuracy,metrics.train.macro avg.precision,metrics.train.macro avg.recall,metrics.train.macro avg.f1-score,metrics.train.macro avg.support,metrics.train.weighted avg.precision,metrics.train.weighted avg.recall,metrics.train.weighted avg.f1-score,metrics.train.weighted avg.support,metrics.train.cross-entropy,metrics.train.roc-auc,metrics.val.0.precision,metrics.val.0.recall,metrics.val.0.f1-score,metrics.val.0.support,metrics.val.1.precision,metrics.val.1.recall,metrics.val.1.f1-score,metrics.val.1.support,metrics.val.accuracy,metrics.val.macro avg.precision,metrics.val.macro avg.recall,metrics.val.macro avg.f1-score,metrics.val.macro avg.support,metrics.val.weighted avg.precision,metrics.val.weighted avg.recall,metrics.val.weighted avg.f1-score,metrics.val.weighted avg.support,metrics.val.cross-entropy,metrics.val.roc-auc,metrics.test.0.precision,metrics.test.0.recall,metrics.test.0.f1-score,metrics.test.0.support,metrics.test.1.precision,metrics.test.1.recall,metrics.test.1.f1-score,metrics.test.1.support,metrics.test.accuracy,metrics.test.macro avg.precision,metrics.test.macro avg.recall,metrics.test.macro avg.f1-score,metrics.test.macro avg.support,metrics.test.weighted avg.precision,metrics.test.weighted avg.recall,metrics.test.weighted avg.f1-score,metrics.test.weighted avg.support,metrics.test.cross-entropy,metrics.test.roc-auc,metrics.train.2.precision,metrics.train.2.recall,metrics.train.2.f1-score,metrics.train.2.support,metrics.train.3.precision,metrics.train.3.recall,metrics.train.3.f1-score,metrics.train.3.support,metrics.train.4.precision,metrics.train.4.recall,metrics.train.4.f1-score,metrics.train.4.support,metrics.train.5.precision,metrics.train.5.recall,metrics.train.5.f1-score,metrics.train.5.support,metrics.train.6.precision,metrics.train.6.recall,metrics.train.6.f1-score,metrics.train.6.support,metrics.train.7.precision,metrics.train.7.recall,metrics.train.7.f1-score,metrics.train.7.support,metrics.train.8.precision,metrics.train.8.recall,metrics.train.8.f1-score,metrics.train.8.support,metrics.val.2.precision,metrics.val.2.recall,metrics.val.2.f1-score,metrics.val.2.support,metrics.val.3.precision,metrics.val.3.recall,metrics.val.3.f1-score,metrics.val.3.support,metrics.val.4.precision,metrics.val.4.recall,metrics.val.4.f1-score,metrics.val.4.support,metrics.val.5.precision,metrics.val.5.recall,metrics.val.5.f1-score,metrics.val.5.support,metrics.val.6.precision,metrics.val.6.recall,metrics.val.6.f1-score,metrics.val.6.support,metrics.val.7.precision,metrics.val.7.recall,metrics.val.7.f1-score,metrics.val.7.support,metrics.val.8.precision,metrics.val.8.recall,metrics.val.8.f1-score,metrics.val.8.support,metrics.test.2.precision,metrics.test.2.recall,metrics.test.2.f1-score,metrics.test.2.support,metrics.test.3.precision,metrics.test.3.recall,metrics.test.3.f1-score,metrics.test.3.support,metrics.test.4.precision,metrics.test.4.recall,metrics.test.4.f1-score,metrics.test.4.support,metrics.test.5.precision,metrics.test.5.recall,metrics.test.5.f1-score,metrics.test.5.support,metrics.test.6.precision,metrics.test.6.recall,metrics.test.6.f1-score,metrics.test.6.support,metrics.test.7.precision,metrics.test.7.recall,metrics.test.7.f1-score,metrics.test.7.support,metrics.test.8.precision,metrics.test.8.recall,metrics.test.8.f1-score,metrics.test.8.support,Dataset
0,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,2516,0:01:10.845566,,32768,7,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.11762418050890977,0.06388497352600098,0.9860992294403819,-0.11762418050890977,0.14041142006641066,0.07389353960752487,0.9807415159060394,-0.14041142006641066,0.14431496494909074,0.07417912036180496,0.9790895580805948,-0.14431496494909074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
1,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,2244,0:01:05.848664,,32768,6,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.12078621097236324,0.0696217268705368,0.985341810107728,-0.12078621097236324,0.1397821279967664,0.07845167070627213,0.9809137525140147,-0.1397821279967664,0.14425731809662035,0.07939013093709946,0.979106260547047,-0.14425731809662035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
2,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,2652,0:01:13.581149,,32768,5,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.11459644786242998,0.06317353248596191,0.986805650526915,-0.11459644786242998,0.13976485728207064,0.07547127455472946,0.9809184694905975,-0.13976485728207064,0.1453304938486359,0.07591025531291962,0.9787942332904276,-0.1453304938486359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
3,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,2108,0:01:03.885992,,32768,11,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.12119013657315922,0.0648164376616478,0.9852436076522987,-0.12119013657315922,0.1362994508181743,0.07277899235486984,0.9818529734054406,-0.1362994508181743,0.14094579716638167,0.07319404929876328,0.9800545084636738,-0.14094579716638167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
4,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,2516,0:01:11.327486,,32768,2,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.11471870176578755,0.06236791983246803,0.9867774838208475,-0.11471870176578755,0.13653207023079106,0.0725768581032753,0.9817909785603458,-0.13653207023079106,0.14016911334926502,0.07249083369970322,0.9802737210658509,-0.14016911334926502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
5,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,1292,0:00:47.322502,,32768,14,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.13315512835610566,0.0742647722363472,0.9821859996815397,-0.13315512835610566,0.14036143292894449,0.07920379191637039,0.9807552254588124,-0.14036143292894449,0.14593973634913704,0.0789884477853775,0.9786160671040752,-0.14593973634913704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
6,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,2448,0:01:10.376042,,32768,10,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.11514431456795138,0.06314869970083237,0.9866791909887854,-0.11514431456795138,0.13703418854680335,0.07320458441972733,0.981656800300137,-0.13703418854680335,0.14151106606344868,0.07380081713199615,0.9798942042406307,-0.14151106606344868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
7,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,1496,0:00:51.355608,,32768,8,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.1295591854231813,0.0723191499710083,0.9831351678582412,-0.1295591854231813,0.14068145413501507,0.07779467105865479,0.9806673689752937,-0.14068145413501507,0.1411436569625554,0.0771685242652893,0.979998470530969,-0.1411436569625554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
8,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,1020,0:00:41.326515,,32768,12,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.1322895370584824,0.0714011937379837,0.982416851086935,-0.1322895370584824,0.13966305529508696,0.07514853030443192,0.9809462545312408,-0.13966305529508696,0.14397229546035126,0.07554040104150772,0.9791887429795155,-0.14397229546035126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
9,bin.model.main,['NVIDIA GeForce RTX 4090'],9946113,labels,68,2584,0:01:11.648750,,32768,3,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0008612019332458145,0.016296511991482788,moe-sparse,4,5,704,0.00970648809958686,0.5,4,0.11745579128200165,0.06301744282245636,0.986139002461988,-0.11745579128200165,0.1383462157903241,0.07300916314125061,0.9813038650439063,-0.1383462157903241,0.1420854653014858,0.07337731122970581,0.9797306489360781,-0.1420854653014858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
