Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.backbone.k,config.model.backbone.moe_ratio,config.model.backbone.num_experts,has_dropout,has_weight_decay
adult,1.0,64.0,0.0,0.00021534327594323576,0.0,3.0,0.25,32.0,0.0,0.0
black-friday,3.0,144.0,0.31185253897531906,0.0008876127979969685,0.09404460952163926,9.0,0.5,48.0,1.0,1.0
california,3.0,624.0,0.0,0.0004423776534691951,0.023821137263978193,9.0,1.0,64.0,0.0,1.0
churn,4.0,480.0,0.2966824869843715,0.002793627595208692,0.0,4.0,0.75,48.0,1.0,0.0
covtype2,4.0,656.0,0.23750015579509443,0.0007430959950288767,0.0,3.0,0.75,48.0,1.0,0.0
diamond,5.0,112.0,0.0,0.00027484550765715694,0.000817897230953978,10.0,0.25,64.0,0.0,1.0
higgs-small,3.0,592.0,0.13546007074280791,0.001514220752434077,0.0,2.0,0.25,48.0,1.0,0.0
house,1.0,320.0,0.3082379469397794,0.00014267317800402475,0.0,6.0,1.0,32.0,1.0,0.0
microsoft,5.0,368.0,0.29627660584115695,0.00013214944225052174,0.07292259744917656,4.0,0.5,32.0,1.0,1.0
otto,1.0,992.0,0.442341810080819,0.00027711902628952545,0.0,8.0,0.25,48.0,1.0,0.0
AVERAGE,3.0,435.2,0.2028351615359348,0.0007423065224282275,0.019160624146574802,5.8,0.55,46.4,0.7,0.4
