,function,gpus,n_parameters,prediction_type,epoch_size,best_step,time,chunk_size,eval_batch_size,config.seed,config.batch_size,config.patience,config.n_epochs,config.gradient_clipping_norm,config.amp,config.data.cache,config.data.path,config.data.num_policy,config.data.cat_policy,config.optimizer.type,config.optimizer.lr,config.optimizer.weight_decay,config.model.arch_type,config.model.backbone.k,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.model.backbone.moe_ratio,config.model.backbone.num_experts,config.model.num_embeddings.type,config.model.num_embeddings.d_embedding,config.bins.n_bins,metrics.train.rmse,metrics.train.mae,metrics.train.r2,metrics.train.score,metrics.val.rmse,metrics.val.mae,metrics.val.r2,metrics.val.score,metrics.test.rmse,metrics.test.mae,metrics.test.r2,metrics.test.score,metrics.train.0.precision,metrics.train.0.recall,metrics.train.0.f1-score,metrics.train.0.support,metrics.train.1.precision,metrics.train.1.recall,metrics.train.1.f1-score,metrics.train.1.support,metrics.train.accuracy,metrics.train.macro avg.precision,metrics.train.macro avg.recall,metrics.train.macro avg.f1-score,metrics.train.macro avg.support,metrics.train.weighted avg.precision,metrics.train.weighted avg.recall,metrics.train.weighted avg.f1-score,metrics.train.weighted avg.support,metrics.train.cross-entropy,metrics.train.roc-auc,metrics.val.0.precision,metrics.val.0.recall,metrics.val.0.f1-score,metrics.val.0.support,metrics.val.1.precision,metrics.val.1.recall,metrics.val.1.f1-score,metrics.val.1.support,metrics.val.accuracy,metrics.val.macro avg.precision,metrics.val.macro avg.recall,metrics.val.macro avg.f1-score,metrics.val.macro avg.support,metrics.val.weighted avg.precision,metrics.val.weighted avg.recall,metrics.val.weighted avg.f1-score,metrics.val.weighted avg.support,metrics.val.cross-entropy,metrics.val.roc-auc,metrics.test.0.precision,metrics.test.0.recall,metrics.test.0.f1-score,metrics.test.0.support,metrics.test.1.precision,metrics.test.1.recall,metrics.test.1.f1-score,metrics.test.1.support,metrics.test.accuracy,metrics.test.macro avg.precision,metrics.test.macro avg.recall,metrics.test.macro avg.f1-score,metrics.test.macro avg.support,metrics.test.weighted avg.precision,metrics.test.weighted avg.recall,metrics.test.weighted avg.f1-score,metrics.test.weighted avg.support,metrics.test.cross-entropy,metrics.test.roc-auc,metrics.train.2.precision,metrics.train.2.recall,metrics.train.2.f1-score,metrics.train.2.support,metrics.train.3.precision,metrics.train.3.recall,metrics.train.3.f1-score,metrics.train.3.support,metrics.train.4.precision,metrics.train.4.recall,metrics.train.4.f1-score,metrics.train.4.support,metrics.train.5.precision,metrics.train.5.recall,metrics.train.5.f1-score,metrics.train.5.support,metrics.train.6.precision,metrics.train.6.recall,metrics.train.6.f1-score,metrics.train.6.support,metrics.train.7.precision,metrics.train.7.recall,metrics.train.7.f1-score,metrics.train.7.support,metrics.train.8.precision,metrics.train.8.recall,metrics.train.8.f1-score,metrics.train.8.support,metrics.val.2.precision,metrics.val.2.recall,metrics.val.2.f1-score,metrics.val.2.support,metrics.val.3.precision,metrics.val.3.recall,metrics.val.3.f1-score,metrics.val.3.support,metrics.val.4.precision,metrics.val.4.recall,metrics.val.4.f1-score,metrics.val.4.support,metrics.val.5.precision,metrics.val.5.recall,metrics.val.5.f1-score,metrics.val.5.support,metrics.val.6.precision,metrics.val.6.recall,metrics.val.6.f1-score,metrics.val.6.support,metrics.val.7.precision,metrics.val.7.recall,metrics.val.7.f1-score,metrics.val.7.support,metrics.val.8.precision,metrics.val.8.recall,metrics.val.8.f1-score,metrics.val.8.support,metrics.test.2.precision,metrics.test.2.recall,metrics.test.2.f1-score,metrics.test.2.support,metrics.test.3.precision,metrics.test.3.recall,metrics.test.3.f1-score,metrics.test.3.support,metrics.test.4.precision,metrics.test.4.recall,metrics.test.4.f1-score,metrics.test.4.support,metrics.test.5.precision,metrics.test.5.recall,metrics.test.5.f1-score,metrics.test.5.support,metrics.test.6.precision,metrics.test.6.recall,metrics.test.6.f1-score,metrics.test.6.support,metrics.test.7.precision,metrics.test.7.recall,metrics.test.7.f1-score,metrics.test.7.support,metrics.test.8.precision,metrics.test.8.recall,metrics.test.8.f1-score,metrics.test.8.support,Dataset
0,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,5372,0:02:51.401001,,32768,7,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.12520902264014405,0.06580042093992233,0.9842486819061128,-0.12520902264014405,0.12907988240719911,0.06767142564058304,0.9837244979792492,-0.12907988240719911,0.13304843702312139,0.06785765290260315,0.9822270296944017,-0.13304843702312139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
1,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,5712,0:02:58.629838,,32768,6,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.1272393374870737,0.07044827938079834,0.9837337131412563,-0.1272393374870737,0.12928454204874118,0.07164262980222702,0.983672846181946,-0.12928454204874118,0.13376024729476332,0.07171192765235901,0.9820363507601868,-0.13376024729476332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
2,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,7548,0:03:48.009863,,32768,5,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.12382551229590648,0.06613180041313171,0.9845948512143284,-0.12382551229590648,0.12877394649111334,0.068441241979599,0.983801556161872,-0.12877394649111334,0.1330501589814992,0.06905994564294815,0.9822265699116207,-0.1330501589814992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
3,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,5780,0:03:00.627477,,32768,11,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.1277667310838755,0.06748352199792862,0.9835985888864692,-0.1277667310838755,0.13025554436874665,0.06933508813381195,0.9834266721018661,-0.13025554436874665,0.13389539321856558,0.06955550611019135,0.9820000320089646,-0.13389539321856558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
4,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,6256,0:03:13.292478,,32768,2,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.1258377966920783,0.06568038463592529,0.9840900859676233,-0.1258377966920783,0.12948697224927513,0.06767333298921585,0.9836216776276557,-0.12948697224927513,0.1328601541295558,0.0672636479139328,0.9822772954965876,-0.1328601541295558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
5,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,7548,0:03:46.545316,,32768,14,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.12219226086407502,0.06480055302381516,0.9849985579210324,-0.12219226086407502,0.12881475149016605,0.06790237128734589,0.9837912896862318,-0.12881475149016605,0.13215207942011487,0.067667156457901,0.9824656989856123,-0.13215207942011487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
6,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,5372,0:02:50.899862,,32768,10,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.12715450600529438,0.06562501192092896,0.9837553961324886,-0.12715450600529438,0.1304979457282471,0.06763790547847748,0.9833649324380974,-0.1304979457282471,0.13465327956632034,0.06778623163700104,0.9817956821393802,-0.13465327956632034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
7,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,6664,0:03:24.318636,,32768,8,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.12388656602970666,0.06544425338506699,0.984579654844748,-0.12388656602970666,0.12867784494379322,0.06751847267150879,0.9838257250070095,-0.12867784494379322,0.13077652856605815,0.06760430335998535,0.982828820809809,-0.13077652856605815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
8,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,7276,0:03:39.502339,,32768,12,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.12381256754886338,0.06591697037220001,0.9845980701647846,-0.12381256754886338,0.12886628340548237,0.06838152557611465,0.9837783185371322,-0.12886628340548237,0.1316699643365941,0.06859862059354782,0.9825934007506603,-0.1316699643365941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
9,bin.model.main,['NVIDIA GeForce RTX 4090'],2209537,labels,68,5916,0:03:05.354708,,32768,3,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.00027484550765715694,0.000817897230953978,moe-sparse-shared,10,5,112,0.0,0.25,64,PiecewiseLinearEmbeddingsV2,28,111,0.1250219400343975,0.06526125967502594,0.9842957154030275,-0.1250219400343975,0.1292839297357372,0.06783350557088852,0.9836730023745592,-0.1292839297357372,0.13287655603972628,0.06752628087997437,0.9822729195630401,-0.13287655603972628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
