Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.backbone.k,config.model.backbone.moe_ratio,config.model.backbone.num_experts,has_dropout,has_weight_decay
adult,1.0,224.0,0.0,0.00011548562061361688,0.00043703328422486215,9.0,0.5,64.0,0.0,1.0
black-friday,3.0,528.0,0.029001504927742977,0.00021027124944383898,0.0013081473746629955,9.0,0.5,32.0,1.0,1.0
california,2.0,368.0,0.09484161388853794,0.0021676971406640365,0.024759199350338046,9.0,1.0,16.0,1.0,1.0
churn,1.0,576.0,0.46147264125160936,0.00010647276159878016,0.09130595546218077,3.0,0.25,32.0,1.0,1.0
covtype2,1.0,608.0,0.18596311864024906,0.0001222234331462839,0.00018083947393700983,3.0,0.5,32.0,1.0,1.0
diamond,3.0,976.0,0.14394169006966162,0.000766810146351782,0.0,7.0,0.75,16.0,1.0,0.0
higgs-small,3.0,864.0,0.31502794343072743,0.0004369583573308244,0.0,9.0,0.25,16.0,1.0,0.0
house,5.0,1008.0,0.0,0.00022771572086961096,0.00010401998169894583,2.0,0.5,16.0,0.0,1.0
microsoft,2.0,592.0,0.1394675019104608,0.0002000968126200079,0.0,4.0,0.25,32.0,1.0,0.0
otto,2.0,272.0,0.29582998525319965,0.0001371575095928092,0.0,10.0,0.5,48.0,1.0,0.0
AVERAGE,2.3,601.6,0.16655459993721888,0.00044908887522315913,0.011809519492704264,6.5,0.5,30.4,0.8,0.6
