Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.backbone.k,config.model.backbone.moe_ratio,config.model.backbone.num_experts,has_dropout,has_weight_decay
adult,1.0,496.0,0.0,0.00012119076732805919,0.0004852299442114777,10.0,0.5,16.0,0.0,1.0
black-friday,4.0,784.0,0.06009828060658445,0.00013865929918426315,0.0,10.0,0.5,16.0,1.0,0.0
california,2.0,912.0,0.14644392738508882,0.001376787802413695,0.001928622071359277,9.0,1.0,32.0,1.0,1.0
churn,2.0,608.0,0.0,0.0008670732290222589,0.087740418279602,4.0,1.0,32.0,0.0,1.0
covtype2,4.0,848.0,0.20745456647170152,0.0001599138224633487,0.009012340585074396,3.0,0.25,32.0,1.0,1.0
diamond,4.0,496.0,0.0,0.0002098564193694884,0.0,10.0,0.5,16.0,0.0,0.0
higgs-small,2.0,224.0,0.3529080520511305,0.0009013885357603761,0.004541526591440515,10.0,0.5,16.0,1.0,1.0
house,3.0,688.0,0.28356043643619033,0.00012481760318221343,0.0,8.0,0.5,16.0,1.0,0.0
microsoft,3.0,416.0,0.15708671064459376,0.0004559033101696751,0.00015017185420527338,4.0,0.5,16.0,1.0,1.0
AVERAGE,2.7777777777777777,608.0,0.13417244151058771,0.0004839545320992642,0.011539812147321436,7.555555555555555,0.5833333333333334,21.333333333333332,0.6666666666666666,0.6666666666666666
