Dataset,mean,std
Ailerons,-0.00015160931586179685,3.3594647974462736e-06
Brazilian_houses,-0.03930241977418854,0.022433129027797323
KDDCup09_upselling,0.8029721544390989,0.0076142463478446575
MagicTelescope,0.8652510873863186,0.005776833050390115
MiamiHousing2016,-0.14033069638048015,0.0012450749516802868
MiniBooNE,0.9487380168540489,0.0006266634347982182
OnlineNewsPopularity,-0.8547718762363892,0.000411547367626832
adult,0.8693732981184612,0.001184529591226376
analcatdata_supreme,-0.0747312351175579,0.008697445173897447
bank-marketing,0.7991999199919992,0.008854097461671992
black-friday,-0.6768339089816653,0.0004343050275525895
california,-0.42925705148950793,0.002890150478499012
churn,0.8608333333333333,0.0014840420992616502
cooking-time,-0.480366063043065,0.00015525163063663717
covtype2,0.9767911901299163,0.0003958251171172462
cpu_act,-2.16072659007845,0.045134826577309536
credit,0.7761063829787234,0.0032263442761780066
delivery-eta,-0.5499124381697035,0.0016872878263989276
diamond,-0.1302044373819897,0.0005177651483828582
ecom-offers,0.5902566291877233,0.00180174498883935
elevators,-0.0017792895847975575,2.2505176360141862e-05
fifa,-0.7779699761644191,0.010713904415776165
higgs-small,0.7374604793472718,0.0007252276277712359
homecredit-default,0.8631631710207074,0.001507526100533633
homesite-insurance,0.9622244750631499,0.00034003361922420035
house,-29930.53297552625,172.89489252065502
house_sales,-0.1650279642631312,0.0004890540986678802
isolet,-1.8030969616286217,0.09150257747919505
jannis,0.8072444591465432,0.0018081264069363407
kdd_ipums_la_97-small,0.8782262996941895,0.00813410714873194
maps-routing,-0.16082107658676353,0.00011730797777679908
medical_charges,-0.08109217792976976,2.3870898126539878e-05
microsoft,-0.742528976469877,0.00019945486368064507
nyc-taxi-green-dec-2016,-0.356413949843721,0.019647943234485914
otto,0.8335703512174101,0.001912471373372898
particulate-matter-ukair-2017,-0.3598691774743293,0.0005489749364664943
phoneme,0.8765217391304347,0.014018007255937695
pol,-2.3320549907501618,0.08539744425046203
road-safety,0.8044286132827558,0.003627512569752928
sberbank-housing,-0.23207808890855738,0.0012168104363679264
superconduct,-10.152050067641829,0.02738177085776972
weather,-1.46490544994878,0.002207804017698076
wine,0.7919553072625699,0.015938753892751033
wine_quality,-0.6330767541615046,0.012533260467951729
year,-8.879515652743255,0.008609628110530735
