Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.k,has_dropout,has_weight_decay
Ailerons,3.6666666666666665,394.6666666666667,0.17150401190420425,0.0013445556357456992,0.026089354171896634,32.0,0.6666666666666666,0.6666666666666666
Brazilian_houses,1.3333333333333333,512.0,0.06727847931774311,0.002230954984034157,0.025049105556107554,32.0,0.3333333333333333,0.6666666666666666
KDDCup09_upselling,4.333333333333333,389.3333333333333,0.11552560864409228,0.001098024476433573,0.00022390526703575139,32.0,0.3333333333333333,0.6666666666666666
MagicTelescope,4.0,688.0,0.14564420026822816,0.0021099057016854563,0.00345428593828901,32.0,0.6666666666666666,1.0
Mercedes_Benz_Greener_Manufacturing,4.2,633.6,0.22527428243733522,0.0010812744298882664,0.0013255907630404476,32.0,0.8,0.8
MiamiHousing2016,4.0,400.0,0.024256468851947387,0.0017472218663221988,0.01802054356250601,32.0,0.3333333333333333,0.3333333333333333
MiniBooNE,4.0,1008.0,0.16802821625128522,0.0029800881797794384,0.02716454670970143,32.0,1.0,1.0
OnlineNewsPopularity,2.0,304.0,0.16925470278005467,0.0024634522237801802,0.0,32.0,1.0,0.0
adult,4.0,320.0,0.3865104245869764,0.0009176025148173867,0.0,32.0,1.0,0.0
analcatdata_supreme,4.8,422.4,0.01516531792083595,0.0007853065444075368,0.01999244071379894,32.0,0.2,0.6
bank-marketing,5.0,496.0,0.05758829768305836,0.000897979670452687,0.00019820752058684148,32.0,0.3333333333333333,0.3333333333333333
black-friday,2.0,1024.0,0.16309192650131865,0.001178276580078447,0.002083465686025929,32.0,1.0,1.0
california,3.0,400.0,0.20769705860329654,0.000872489003621806,0.03777165108799435,32.0,1.0,1.0
churn,4.0,192.0,0.0,0.0007091576793635641,0.0,32.0,0.0,0.0
cooking-time,2.0,176.0,0.0,0.002772008541489717,0.00013108813258313508,32.0,0.0,1.0
covtype2,5.0,960.0,0.0,0.002449350966717478,0.0,32.0,0.0,0.0
cpu_act,4.666666666666667,576.0,0.040884906621258786,0.002133968458057902,0.03233204448667611,32.0,1.0,0.3333333333333333
credit,3.5,360.0,0.0,0.0012602235831002844,0.00013126479891476228,32.0,0.0,0.5
delivery-eta,4.0,192.0,0.0,0.0007091576793635641,0.0,32.0,0.0,0.0
diamond,3.0,432.0,0.0670993427799407,0.0008384280840143385,0.09942925564959365,32.0,1.0,1.0
ecom-offers,1.0,528.0,0.06439232938898472,0.0010951110274328268,0.0,32.0,1.0,0.0
elevators,5.0,232.0,0.0,0.0012111460708162604,0.03367642650703369,32.0,0.0,1.0
fifa,2.0,288.0,0.03699818287105616,0.0018833398110843411,5.925773480263706e-05,32.0,0.5,0.5
higgs-small,4.0,944.0,0.3973669652985402,0.0027423564168318343,0.07870011882106881,32.0,1.0,1.0
homecredit-default,5.0,560.0,0.0,0.0014221199739697214,0.00026919058249260725,32.0,0.0,1.0
homesite-insurance,2.0,1024.0,0.3779904316542978,0.0011446785908778689,0.0,32.0,1.0,0.0
house,5.0,784.0,0.0,0.002084594930527756,0.0001393628533936098,32.0,0.0,1.0
house_sales,3.0,160.0,0.10949567294034468,0.0012153011300054123,0.06882214615274462,32.0,1.0,1.0
isolet,5.0,922.6666666666666,0.08356404466897616,0.0016968506404737502,0.0024404076780496302,32.0,0.6666666666666666,0.6666666666666666
jannis,5.0,512.0,0.2239007457504489,0.002650676722130883,0.0,32.0,1.0,0.0
kdd_ipums_la_97-small,4.333333333333333,357.3333333333333,0.0,0.0012823993621858246,0.0,32.0,0.0,0.0
maps-routing,3.0,192.0,0.0,0.0013713427645406263,0.0,32.0,0.0,0.0
medical_charges,5.0,288.0,0.0,0.0004757355365789829,0.0,32.0,0.0,0.0
microsoft,5.0,544.0,0.17192838843215202,0.0022573429413664937,0.0005196195864034094,32.0,1.0,1.0
nyc-taxi-green-dec-2016,5.0,80.0,0.0,0.0023277883684261493,0.0,32.0,0.0,0.0
otto,3.0,976.0,0.14971802724152009,0.0011460201522603196,0.0,32.0,1.0,0.0
particulate-matter-ukair-2017,2.0,224.0,0.06092320328002587,0.0006236462331945983,0.0,32.0,1.0,0.0
phoneme,3.8,649.6,8.0157806128911e-06,0.0011730789593859823,0.0043945793387412955,32.0,0.2,0.6
pol,4.0,656.0,0.12054877533602504,0.001499095849946998,9.163172764248959e-05,32.0,0.5,0.5
road-safety,4.0,288.0,0.21495725584142195,0.0018998402308727383,0.0,32.0,1.0,0.0
sberbank-housing,3.0,240.0,0.0,0.002315579057939825,0.0,32.0,0.0,0.0
superconduct,5.0,848.0,0.0,0.0018064522479940726,0.00019335846352571767,32.0,0.0,1.0
weather,5.0,896.0,0.0,0.0027867656958315487,0.0015897005987437303,32.0,0.0,1.0
wine,3.8,547.2,0.0,0.0019455151984984916,0.0028821074556638314,32.0,0.0,0.8
wine_quality,4.333333333333333,762.6666666666666,0.0524190074931268,0.002220140456143838,0.0039603787833239834,32.0,0.6666666666666666,0.6666666666666666
year,3.0,384.0,0.30166669435085536,0.0026911676007777196,0.0,32.0,1.0,0.0
AVERAGE,3.7557971014492755,516.6840579710145,0.09544958664086878,0.0016423372342010553,0.01067684861583436,32.0,0.5043478260869565,0.4920289855072464
