,0
TabR-periodic,4.333333333333333
 TabMmini-piecewiselinear,5.0
MNCA-periodic,7.5
TabMmini,8.5
MLP-periodic,9.666666666666666
TabM-greedy,10.0
CatBoost,10.0
XGBoost,10.333333333333334
LightGBM,10.5
TabM,10.833333333333334
MLP-periodic−lite,11.0
TabM-batch-shared,11.833333333333334
TabR,13.166666666666666
MNCA,13.333333333333334
tabrmv2-piecewiselinear,13.833333333333334
MLP-piecewiselinear,14.666666666666666
T2G,14.666666666666666
Excel-plugins,16.666666666666668
moe-sparse-piecewiselinear,18.666666666666668
tabrm-piecewiselinear,18.833333333333332
moe-mini-sparse-shared-piecewiselinear,19.0
Trompt,19.166666666666668
SAINT,19.666666666666668
FT-T,20.333333333333332
AutoInt,21.5
MLP-Mixer,21.666666666666668
ResNet,24.5
DCN2,26.833333333333332
MLP,27.166666666666668
SNN,28.833333333333332
