,0
 TabMmini-piecewiselinear,3.8260869565217392
TabM,6.869565217391305
TabMmini,7.782608695652174
TabM-greedy,8.173913043478262
TabM-batch-shared,9.065217391304348
MNCA-periodic,9.326086956521738
TabR-periodic,9.717391304347826
CatBoost,10.152173913043478
MLP-periodic,11.0
XGBoost,11.543478260869565
MLP-piecewiselinear,11.717391304347826
LightGBM,11.782608695652174
MNCA,12.543478260869565
MLP-periodic−lite,12.804347826086957
T2G,13.152173913043478
TabR,13.717391304347826
Trompt,14.152173913043478
FT-T,15.847826086956522
SAINT,16.82608695652174
Excel-plugins,18.543478260869566
MLP,19.58695652173913
MLP-Mixer,20.47826086956522
AutoInt,22.391304347826086
SNN,22.456521739130434
ResNet,22.630434782608695
DCN2,23.26086956521739
tabrmv2-periodic,27.782608695652176
tabrmv2-mini-periodic,28.76086956521739
tabrmv2-piecewiselinear,29.23913043478261
tabrm-piecewiselinear,31.152173913043477
moe-mini-sparse-shared-piecewiselinear,31.369565217391305
moe-sparse-piecewiselinear,31.434782608695652
tabrmv3-mini-periodic,33.80434782608695
tabrmoev3-periodic,34.0
