,0
TabR-periodic,4.333333333333333
 TabMmini-piecewiselinear,4.833333333333333
MNCA-periodic,7.0
TabMmini,7.833333333333333
TabM-greedy,9.166666666666666
MLP-periodic,9.5
CatBoost,9.666666666666666
XGBoost,9.666666666666666
LightGBM,10.0
TabM,10.0
MLP-periodic−lite,10.5
TabM-batch-shared,10.833333333333334
MNCA,12.333333333333334
TabR,12.333333333333334
T2G,12.833333333333334
MLP-piecewiselinear,13.5
Excel-plugins,15.0
moe-mini-sparse-shared-piecewiselinear,17.166666666666668
Trompt,17.333333333333332
SAINT,17.666666666666668
FT-T,18.333333333333332
AutoInt,19.333333333333332
MLP-Mixer,19.666666666666668
ResNet,22.166666666666668
DCN2,24.0
MLP,24.5
SNN,25.833333333333332
