,0
TabR-periodic,4.333333333333333
 TabMmini-piecewiselinear,5.0
MNCA-periodic,7.166666666666667
TabMmini,8.0
TabM-greedy,9.5
MLP-periodic,9.666666666666666
CatBoost,9.833333333333334
XGBoost,9.833333333333334
LightGBM,10.166666666666666
TabM,10.333333333333334
MLP-periodic−lite,10.5
TabM-batch-shared,11.166666666666666
MNCA,12.5
TabR,12.5
tabrmv2-piecewiselinear,12.666666666666666
T2G,13.0
MLP-piecewiselinear,13.666666666666666
Excel-plugins,15.166666666666666
Trompt,17.666666666666668
SAINT,17.833333333333332
FT-T,18.5
AutoInt,19.5
MLP-Mixer,19.833333333333332
ResNet,22.166666666666668
DCN2,24.166666666666668
MLP,24.5
SNN,25.833333333333332
