,0,2,19,21,24,25
dataset,churn,house,bank-marketing,MagicTelescope,OnlineNewsPopularity,credit
direction,higher_is_better,lower_is_better,higher_is_better,higher_is_better,lower_is_better,higher_is_better
MLP,0.8553,3.1117,0.786,0.8539,0.8643,0.7735
ResNet,0.8545,3.1143,0.7921,0.8589,0.8665,0.7721
DCN2,0.8567,3.3327,0.7859,0.8432,0.8714,0.7703
SNN,0.8506,3.2176,0.7836,0.8536,0.8692,0.7712
Trompt,0.86,3.0638,0.7975,0.8605,0.8623,0.774
AutoInt,0.8607,3.2157,0.7917,0.8522,0.8636,0.7737
MLP-Mixer,0.8592,3.1871,0.7954,0.8571,0.8615,0.7748
Excel-plugins,0.8618,3.246,0.7957,0.848,0.8605,0.7724
SAINT,0.8603,3.2424,0.7953,0.8595,0.86,0.7739
FT-T,0.8593,3.1823,0.7918,0.8588,0.8629,0.7745
T2G,0.8613,3.1613,0.7918,0.8553,0.8632,0.7744
MLP-periodic−lite,0.8624,3.0633,0.7947,0.8591,0.8604,0.7749
MLP-periodic,0.8624,3.0775,0.7988,0.8575,0.8594,0.7734
MLP-piecewiselinear,0.858,3.0999,0.7981,0.8593,0.8585,0.7758
XGBoost,0.8605,3.1773,0.8013,0.855,0.8545,0.7698
LightGBM,0.86,3.1774,0.8006,0.8547,0.8546,0.7686
CatBoost,0.8582,3.1172,0.8026,0.8586,0.8532,0.7734
TabR,0.8599,3.0667,0.7995,0.8682,0.8677,0.773
TabR-periodic,0.8625,3.1048,0.8023,0.8641,0.8624,0.7723
MNCA,0.8595,3.0884,0.7961,0.8602,0.8651,0.7739
MNCA-periodic,0.8606,3.0704,0.7977,0.8622,0.8647,0.7734
TabM-batch-shared,0.8613,3.0002,0.7908,0.8607,0.8584,0.7751
TabM,0.8605,3.0038,0.7944,0.8622,0.8579,0.776
TabM-greedy,0.8609,3.0082,0.7935,0.86,0.8579,0.7754
TabMmini,0.8633,3.0394,0.7941,0.8606,0.8588,0.7752
TabMmini-piecewiselinear,0.8606,2.9976,0.7989,0.8644,0.8563,0.7761
moe-sparse-piecewiselinear,0.8586,3.2412,,,,
moe-mini-sparse-shared-piecewiselinear,0.8554,3.2337,,,,
tabrmv2-piecewiselinear,0.8624,3.1892,0.7933,0.8359,0.8664,0.7717
tabrmv3-mini-periodic,0.8444,,,,0.8678,0.7587
tabrmoev3-periodic,0.8381,,,,,
tabrmv4-mini-periodic,0.8606,3.4223,0.7957,0.8534,0.8631,0.7695
tabrmv4-shared-periodic,0.857,3.4398,0.7969,0.8565,0.8623,0.7703
tabrmoev4-periodic,0.8574,,,,,
tabrmoev4-drop-periodic,0.8562,,,,,
