,0,1,2,3,4,6,7,10,19,21,22,24,25,26,27,32,37,38
dataset,churn,california,house,adult,diamond,higgs-small,black-friday,wine,bank-marketing,MagicTelescope,Ailerons,OnlineNewsPopularity,credit,elevators,fifa,jannis,year,sberbank-housing
direction,higher_is_better,lower_is_better,lower_is_better,higher_is_better,lower_is_better,higher_is_better,lower_is_better,higher_is_better,higher_is_better,higher_is_better,lower_is_better,lower_is_better,higher_is_better,lower_is_better,lower_is_better,higher_is_better,lower_is_better,lower_is_better
MLP,0.8553,0.4948,3.1117,0.854,0.1404,0.718,0.6955,0.7778,0.786,0.8539,0.0002,0.8643,0.7735,0.002,0.8038,0.784,8.9628,0.2529
ResNet,0.8545,0.4915,3.1143,0.8554,0.1396,0.7256,0.6929,0.771,0.7921,0.8589,0.0002,0.8665,0.7721,0.0019,0.8025,0.7923,8.9658,
DCN2,0.8567,0.4971,3.3327,0.8582,0.142,0.7164,0.6968,0.7492,0.7859,0.8432,0.0002,0.8714,0.7703,0.0019,0.8046,0.7712,9.2761,0.2616
SNN,0.8506,0.5033,3.2176,0.8582,0.1473,0.7142,0.6996,0.7818,0.7836,0.8536,0.0002,0.8692,0.7712,0.002,0.8074,0.7818,9.0054,0.2671
Trompt,0.86,0.4579,3.0638,0.859,0.1391,0.7262,0.6983,0.7818,0.7975,0.8605,0.0002,0.8623,0.774,0.0018,0.788,0.8027,8.9707,0.2509
AutoInt,0.8607,0.4682,3.2157,0.8592,0.1392,0.724,0.6994,0.7745,0.7917,0.8522,0.0002,0.8636,0.7737,0.0019,0.7923,0.7933,9.043,
MLP-Mixer,0.8592,0.4746,3.1871,0.8598,0.14,0.7248,0.6905,0.7769,0.7954,0.8571,0.0002,0.8615,0.7748,0.0019,0.7936,0.7927,8.9589,
Excel-plugins,0.8618,0.4544,3.246,0.8613,0.1766,0.7262,0.6947,0.7631,0.7957,0.848,0.0002,0.8605,0.7724,0.0019,0.7909,0.7954,9.0395,0.2533
SAINT,0.8603,0.468,3.2424,0.8601,0.1369,0.7236,0.6934,0.7684,0.7953,0.8595,0.0002,0.86,0.7739,0.0018,0.7901,0.7971,9.0248,0.2467
FT-T,0.8593,0.4635,3.1823,0.8588,0.1376,0.7281,0.6987,0.7755,0.7918,0.8588,0.0002,0.8629,0.7745,0.0019,0.7928,0.794,9.0005,0.244
T2G,0.8613,0.464,3.1613,0.8601,0.1372,0.7352,0.6887,0.7733,0.7918,0.8553,0.0002,0.8632,0.7744,0.0019,0.7928,0.7998,8.9775,0.2416
MLP-periodic−lite,0.8624,0.4652,3.0633,0.8693,0.1342,0.726,0.6849,0.7803,0.7947,0.8591,0.0002,0.8604,0.7749,0.0019,0.794,0.7923,8.9355,0.2528
MLP-periodic,0.8624,0.4597,3.0775,0.8694,0.1337,0.7261,0.6857,0.7733,0.7988,0.8575,0.0002,0.8594,0.7734,0.0018,0.7907,0.7947,8.9455,0.2412
MLP-piecewiselinear,0.858,0.453,3.0999,0.8603,0.1323,0.721,0.6836,0.7814,0.7981,0.8593,0.0002,0.8585,0.7758,0.0018,0.7806,0.7891,8.9379,0.2383
XGBoost,0.8605,0.4327,3.1773,0.872,0.1368,0.7246,0.6806,0.7949,0.8013,0.855,0.0002,0.8545,0.7698,0.002,0.78,0.7967,9.0307,0.2419
LightGBM,0.86,0.4352,3.1774,0.8713,0.1359,0.7256,0.6799,0.789,0.8006,0.8547,0.0002,0.8546,0.7686,0.002,0.7806,0.7956,9.02,0.2468
CatBoost,0.8582,0.4294,3.1172,0.8714,0.1335,0.726,0.6822,0.7994,0.8026,0.8586,0.0002,0.8532,0.7734,0.002,0.7835,0.7985,9.037,0.2482
TabR,0.8599,0.403,3.0667,0.8646,0.1327,0.7223,0.6899,0.7936,0.7995,0.8682,0.0002,0.8677,0.773,0.0049,0.7902,0.7983,9.0069,0.282
TabR-periodic,0.8625,0.3998,3.1048,0.8699,0.1333,0.7294,0.6761,0.7804,0.8023,0.8641,0.0002,0.8624,0.7723,0.0019,0.7914,0.8051,8.9721,0.2542
MNCA,0.8595,0.4239,3.0884,0.8677,0.137,0.7263,0.6893,0.7911,0.7961,0.8602,0.0002,0.8651,0.7739,0.0019,0.7967,0.7993,8.9476,0.2593
MNCA-periodic,0.8606,0.4142,3.0704,0.8717,0.1327,0.73,0.6885,0.7867,0.7977,0.8622,0.0002,0.8647,0.7734,0.0018,0.7909,0.8068,8.8973,0.2448
TabM-batch-shared,0.8613,0.4509,3.0002,0.8582,0.1342,0.7383,0.6875,0.7961,0.7908,0.8607,0.0002,0.8584,0.7751,0.0019,0.7974,0.8066,8.8701,0.2469
TabM,0.8605,0.4414,3.0038,0.8575,0.131,0.7394,0.6869,0.7943,0.7944,0.8622,0.0002,0.8579,0.776,0.0018,0.7953,0.808,8.8705,0.2439
TabM-greedy,0.8609,0.4413,3.0082,0.8572,0.1309,0.7392,0.6865,0.7879,0.7935,0.86,0.0002,0.8579,0.7754,0.0018,0.7948,0.8064,8.8723,0.2436
TabMmini,0.8633,0.4479,3.0394,0.8598,0.1323,0.7338,0.6863,0.789,0.7941,0.8606,0.0002,0.8588,0.7752,0.0018,0.7938,0.8053,8.9164,0.2433
TabMmini-piecewiselinear,0.8606,0.4275,2.9976,0.87,0.1315,0.7361,0.6781,0.7839,0.7989,0.8644,0.0002,0.8563,0.7761,0.0018,0.7771,0.8078,8.8737,0.2334
tabrm-piecewiselinear,0.8534,0.4604,3.1844,0.864,0.1361,0.7225,0.6881,,,,,,,,,,,
tabrmv2-piecewiselinear,0.8624,0.4565,3.1892,0.8628,0.1357,0.7172,0.6858,,0.7933,0.8359,,0.8664,0.7717,0.0023,0.802,,,0.2454
tabrmv2-periodic,0.8608,0.4634,3.2014,0.8675,0.1371,0.725,0.6864,0.7567,0.7989,0.8608,0.0002,0.863,0.7722,0.0021,0.7947,0.7872,9.0402,0.2645
tabrmv2-mini-periodic,0.8601,0.4649,3.0866,0.8673,,,,0.752,0.7976,0.8642,0.0002,0.8632,0.7733,0.002,0.7942,,9.0262,0.2654
