,0,1,2,3,4,5,6,7,8
dataset,churn,california,house,adult,diamond,otto,higgs-small,black-friday,covtype2
direction,higher_is_better,lower_is_better,lower_is_better,higher_is_better,lower_is_better,higher_is_better,higher_is_better,lower_is_better,higher_is_better
MLP,0.8553,0.4948,3.1117,0.854,0.1404,0.8175,0.718,0.6955,0.963
ResNet,0.8545,0.4915,3.1143,0.8554,0.1396,0.8174,0.7256,0.6929,0.9638
DCN2,0.8567,0.4971,3.3327,0.8582,0.142,0.8064,0.7164,0.6968,0.9622
SNN,0.8506,0.5033,3.2176,0.8582,0.1473,0.8087,0.7142,0.6996,0.9636
Trompt,0.86,0.4579,3.0638,0.859,0.1391,0.8093,0.7262,0.6983,0.9286
AutoInt,0.8607,0.4682,3.2157,0.8592,0.1392,0.805,0.724,0.6994,0.9614
MLP-Mixer,0.8592,0.4746,3.1871,0.8598,0.14,0.8092,0.7248,0.6905,0.9663
Excel-plugins,0.8618,0.4544,3.246,0.8613,0.1766,0.8102,0.7262,0.6947,0.9606
SAINT,0.8603,0.468,3.2424,0.8601,0.1369,0.8119,0.7236,0.6934,0.9669
FT-T,0.8593,0.4635,3.1823,0.8588,0.1376,0.8133,0.7281,0.6987,0.9698
T2G,0.8613,0.464,3.1613,0.8601,0.1372,0.8161,0.7352,0.6887,0.9668
MLP-periodic−lite,0.8624,0.4652,3.0633,0.8693,0.1342,0.819,0.726,0.6849,0.969
MLP-periodic,0.8624,0.4597,3.0775,0.8694,0.1337,0.8189,0.7261,0.6857,0.9713
MLP-piecewiselinear,0.858,0.453,3.0999,0.8603,0.1323,0.8205,0.721,0.6836,0.9697
XGBoost,0.8605,0.4327,3.1773,0.872,0.1368,0.8297,0.7246,0.6806,0.971
LightGBM,0.86,0.4352,3.1774,0.8713,0.1359,0.8302,0.7256,0.6799,0.9709
CatBoost,0.8582,0.4294,3.1172,0.8714,0.1335,0.825,0.726,0.6822,0.967
TabR,0.8599,0.403,3.0667,0.8646,0.1327,0.8179,0.7223,0.6899,0.9737
TabR-periodic,0.8625,0.3998,3.1048,0.8699,0.1333,0.8246,0.7294,0.6761,0.9752
MNCA,0.8595,0.4239,3.0884,0.8677,0.137,0.8275,0.7263,0.6893,0.9724
MNCA-periodic,0.8606,0.4142,3.0704,0.8717,0.1327,0.8265,0.73,0.6885,0.9747
TabM-batch-shared,0.8613,0.4509,3.0002,0.8582,0.1342,0.8268,0.7383,0.6875,0.9712
TabM,0.8605,0.4414,3.0038,0.8575,0.131,0.8275,0.7394,0.6869,0.9735
TabM-greedy,0.8609,0.4413,3.0082,0.8572,0.1309,0.8254,0.7392,0.6865,0.973
TabMmini,0.8633,0.4479,3.0394,0.8598,0.1323,0.8282,0.7338,0.6863,0.971
TabMmini-piecewiselinear,0.8606,0.4275,2.9976,0.87,0.1315,0.8342,0.7361,0.6781,0.9755
tabrm-piecewiselinear,0.8534,0.4604,3.1844,0.864,0.1361,0.8113,0.7225,0.6881,0.9708
tabrmv2-piecewiselinear,0.8624,0.4565,3.1892,0.8628,0.1357,,0.7172,0.6858,
tabrmv2-periodic,0.8608,0.4634,3.2014,0.8675,0.1371,,0.725,0.6864,
tabrmv2-mini-periodic,0.8601,0.4649,3.0866,0.8673,,,,,
