method,OnlineNewsPopularity ↓,churn ↑,credit ↑,ecom-offers ↑,medical_charges ↓,sberbank-housing ↓
MLP-piecewiselinear,0.8585,0.8580,0.7758,0.5949,0.0812,0.2383
MNCA-periodic,0.8647,0.8606,0.7734,0.5758,0.0809,0.2448
TabR-periodic,0.8624,0.8625,0.7723,0.5762,0.0811,0.2542
XGBoost,0.8545,0.8605,0.7698,0.5763,0.0825,0.2419
qreformer-d1-h1-m32,0.8660,0.8584,0.7691,0.5769,0.0847,0.2542
qreformer-deubg-d1-h1-m32,0.8668,0.8587,0.7672,0.5842,0.0824,0.2650
qreformer-deubg-d3-h4-m128-mqa,0.8681,0.8600,0.7697,0.5848,0.0835,0.2691
qreformer-deubg-d3-h4-m32,0.8684,0.8600,0.7665,0.5866,0.0821,0.2643
qreformer-deubg-d3-h4-m96-mqa,0.8695,0.8583,0.7668,0.5834,0.0824,0.2549
qtab-naive-l2-t001,0.9529,0.8382,0.7508,0.5886,0.1016,0.3834
qtab-naive-l2-t02,0.8980,0.8545,0.7695,0.5866,0.0820,0.2978
qtab-naive-l2-t1,0.8674,0.8481,0.7690,0.5946,0.0822,0.2659
qtab-naive-sdp-t001,0.9126,0.8451,0.7592,0.5822,0.0951,0.3071
qtab-naive-sdp-t02,0.8816,0.8512,0.7647,0.5748,0.0829,0.3216
qtab-naive-sdp-t1,0.8623,0.8601,0.7674,0.5891,0.0820,0.2823
tabm,0.8579,0.8605,0.7760,0.5941,0.0812,0.2439
tabm-mini-piecewiselinear,0.8563,0.8606,0.7761,0.5910,0.0811,0.2334
tabm-piecewiselinear,0.8548,0.8608,0.7761,0.5903,0.0811,0.2321
