method,OnlineNewsPopularity ↓,churn ↑,credit ↑,medical_charges ↓,sberbank-housing ↓
CatBoost,0.8532,0.8582,0.7734,0.0816,0.2482
Excel-plugins,0.8605,0.8618,0.7724,0.0817,0.2533
FT-T,0.8629,0.8593,0.7745,0.0814,0.2440
LightGBM,0.8546,0.8600,0.7686,0.0820,0.2468
MLP,0.8643,0.8553,0.7735,0.0816,0.2529
MLP-piecewiselinear,0.8585,0.8580,0.7758,0.0812,0.2383
MNCA,0.8651,0.8595,0.7739,0.0811,0.2593
MNCA-periodic,0.8647,0.8606,0.7734,0.0809,0.2448
SAINT,0.8600,0.8603,0.7739,0.0814,0.2467
T2G,0.8632,0.8613,0.7744,0.0813,0.2416
TabR,0.8677,0.8599,0.7730,0.0815,0.2820
TabR-periodic,0.8624,0.8625,0.7723,0.0811,0.2542
XGBoost,0.8545,0.8605,0.7698,0.0825,0.2419
qreformer-deubg-d3-h4-m32,0.8684,0.8600,0.7665,0.0821,0.2643
qtab-naive-cossim,0.8597,0.8595,0.7687,0.0814,0.2493
qtabformer-key-cossim-t001,0.8609,0.8593,0.7701,0.0830,0.2693
qtabformer-key-cossim-t002,0.8602,0.8610,0.7693,0.0827,0.2734
qtabformer-key-k-value-k-cossim-t01,0.8612,0.8605,0.7692,0.0823,0.2761
qtabformer-key-k-value-ky-cossim,0.8616,0.8594,0.7691,0.0824,0.2545
qtabformer-key-k-value-ky-cossim-t01,0.8620,0.8614,0.7706,0.0820,0.2595
qtabformer-key-ky-value-ky-cossim,0.8632,0.8608,0.7707,0.0825,0.2618
qtabformer-key-ky-value-ky-cossim-t01,0.8614,0.8597,0.7696,0.0822,0.2600
qtabformer-key-y-cossim-t001,0.8609,0.8604,0.7685,0.0828,0.2826
qtabformer-key-y-cossim-t002,0.8623,0.8568,,0.0831,0.2882
qtabformer-query-1-key-k-value-ky-mqa-4,,0.8612,,,0.2875
qtabformer-query-4-key-k-value-ky-mqa,0.8639,0.8613,0.7700,0.0825,0.2601
qtabformer-query-4-key-k-value-ky-mqa-d4,0.9176,0.8598,,0.0820,0.2586
qtabformer-query-4-key-k-value-ky-mqa-moh,0.8631,0.8610,0.7689,0.0818,0.2508
qtabformerv3-key-k-value-ky-cossim-t01,0.8611,0.8598,0.7678,0.0823,0.2691
qtabformerv3-key-k-value-y-cossim-t01,0.8632,0.8600,0.7693,0.0819,0.2694
qtabformerv3-key-ky-value-ky-cossim-t01,0.8624,0.8619,0.7689,0.0825,0.2692
qtabformerv4-key-ky-value-ky-cossim-t01,0.8629,,,0.0823,0.2599
tabm,0.8579,0.8605,0.7760,0.0812,0.2439
tabm-mini-piecewiselinear,0.8563,0.8606,0.7761,0.0811,0.2334
tabm-piecewiselinear,0.8548,0.8608,0.7761,0.0811,0.2321
