method,OnlineNewsPopularity ↓,churn ↑,credit ↑,ecom-offers ↑,medical_charges ↓,sberbank-housing ↓
MLP-piecewiselinear,0.8585,0.8580,0.7758,0.5949,0.0812,0.2383
MNCA-periodic,0.8647,0.8606,0.7734,0.5758,0.0809,0.2448
TabR-periodic,0.8624,0.8625,0.7723,0.5762,0.0811,0.2542
XGBoost,0.8545,0.8605,0.7698,0.5763,0.0825,0.2419
reformer-d1-h1-m32,0.8660,0.8584,0.7691,0.5769,0.0847,0.2542
reformer-d1-h1-m32-aux,0.8666,0.8574,0.7701,0.5741,0.0867,0.2624
reformer-d1-h1-m64,0.8660,0.8600,0.7678,0.5779,0.0832,0.2611
reformer-d3-h4-m32,0.8653,0.8579,0.7674,0.5732,0.0837,0.2557
reformer-d3-h4-m32-adapter,0.8657,0.8586,0.7662,0.5731,0.0858,0.2633
reformer-d3-h4-m32-aux,0.8658,0.8604,0.7703,0.5727,0.1004,0.2621
reformer-d3-h4-m32-mqa,0.8675,0.8558,0.7675,0.5740,0.0861,0.2442
reformer-d3-h4-m32-mqa-adapter,0.8662,0.8598,0.7656,0.5738,0.0870,0.2603
reformer-d3-h4-m64,0.8663,0.8605,0.7682,0.5734,0.0841,0.2556
reformer-d3-h4-m64-mqa,0.8665,0.8582,0.7668,0.5802,0.0847,0.2560
reformer-d3-h4-m96,0.8685,0.8608,0.7680,0.5806,0.0830,0.2558
reformer-d3-h4-m96-mqa,0.8667,0.8594,0.7687,0.5725,0.0837,0.2560
tabm,0.8579,0.8605,0.7760,0.5941,0.0812,0.2439
tabm-mini-piecewiselinear,0.8563,0.8606,0.7761,0.5910,0.0811,0.2334
tabm-piecewiselinear,0.8548,0.8608,0.7761,0.5903,0.0811,0.2321
