method,Brazilian_houses,KDDCup09_upselling,MagicTelescope,MiniBooNE,adult,bank-marketing,california,churn,credit,diamond,jannis,kdd_ipums_la_97-small,nyc-taxi-green-dec-2016,phoneme,sberbank-housing,wine,wine_quality,year
CatBoost,0.0468,0.7992,0.8586,0.9453,0.8714,0.8026,0.4294,0.8582,0.7734,0.1335,0.7985,0.8793,0.3647,0.8827,0.2482,0.7994,0.6088,9.0370
Excel-plugins,0.0450,0.7903,0.8480,0.9430,0.8613,0.7957,0.4544,0.8618,0.7724,0.1766,0.7954,0.8803,0.3969,0.8551,0.2533,0.7631,0.6881,9.0395
FT-T,0.0438,0.7957,0.8588,0.9467,0.8588,0.7918,0.4635,0.8593,0.7745,0.1376,0.7940,0.8795,0.3937,0.8667,0.2440,0.7755,0.6787,9.0005
LightGBM,0.0603,0.7932,0.8547,0.9422,0.8713,0.8006,0.4352,0.8600,0.7686,0.1359,0.7956,0.8792,0.3688,0.8702,0.2468,0.7890,0.6135,9.0200
MLP,0.0473,0.7759,0.8539,0.9480,0.8540,0.7860,0.4948,0.8553,0.7735,0.1404,0.7840,0.8828,0.3951,0.8525,0.2529,0.7778,0.6707,8.9628
MLP-piecewiselinear,0.0421,0.7925,0.8593,0.9482,0.8603,0.7981,0.4530,0.8580,0.7758,0.1323,0.7891,0.8757,0.3680,0.8647,0.2383,0.7814,0.6721,8.9379
MNCA,0.0527,0.7939,0.8602,0.9488,0.8677,0.7961,0.4239,0.8595,0.7739,0.1370,0.7993,0.8819,0.3728,0.8835,0.2593,0.7911,0.6154,8.9476
MNCA-periodic,0.0553,0.7960,0.8622,0.9493,0.8717,0.7977,0.4142,0.8606,0.7734,0.1327,0.8068,0.8837,0.3536,0.8828,0.2448,0.7867,0.6099,8.8973
SAINT,0.0479,0.7942,0.8595,0.9471,0.8601,0.7953,0.4680,0.8603,0.7739,0.1369,0.7971,0.8837,0.3905,0.8657,0.2467,0.7684,0.6797,9.0248
T2G,0.0468,0.8037,0.8553,0.9475,0.8601,0.7918,0.4640,0.8613,0.7744,0.1372,0.7998,0.8833,0.3908,0.8672,0.2416,0.7733,0.6783,8.9775
TabM,0.0417,0.8024,0.8622,0.9503,0.8575,0.7944,0.4414,0.8605,0.7760,0.1310,0.8080,0.8823,0.3849,0.8831,0.2439,0.7943,0.6328,8.8705
TabMmini-piecewiselinear,0.0416,0.8024,0.8644,0.9490,0.8700,0.7989,0.4275,0.8606,0.7761,0.0315,0.8078,0.8779,0.3485,0.8780,0.2334,0.7839,0.6294,8.8737
TabR,0.0490,0.7838,0.8682,0.9487,0.8646,0.7995,0.4030,0.8599,0.7730,0.1327,0.7983,0.8798,0.3577,0.8781,0.2820,0.7936,0.6315,9.0069
TabR-periodic,0.0451,0.7908,0.8641,0.9475,0.8699,0.8023,0.3998,0.8625,0.7723,0.1333,0.8051,0.8831,0.3725,0.8772,0.2542,0.7804,0.6412,8.9721
XGBoost,0.0541,0.7930,0.8550,0.9436,0.8720,0.8013,0.4327,0.8605,0.7698,0.1368,0.7967,0.8825,0.3792,0.8682,0.2419,0.7949,0.6039,9.0307
tabpln-mini-piecewiselinear,0.0220,0.8104,0.8500,0.9477,0.8684,0.7969,0.4204,0.8577,0.7743,0.1325,0.8048,0.8851,0.3485,0.8668,0.2406,0.7976,0.6342,8.8964
