method,OnlineNewsPopularity,churn,credit,medical_charges,sberbank-housing
CatBoost,0.8532,0.8582,0.7734,0.0816,0.2482
Excel-plugins,0.8605,0.8618,0.7724,0.0817,0.2533
FT-T,0.8629,0.8593,0.7745,0.0814,0.2440
LightGBM,0.8546,0.8600,0.7686,0.0820,0.2468
MLP,0.8643,0.8553,0.7735,0.0816,0.2529
MLP-piecewiselinear,0.8585,0.8580,0.7758,0.0812,0.2383
MNCA,0.8651,0.8595,0.7739,0.0811,0.2593
MNCA-periodic,0.8647,0.8606,0.7734,0.0809,0.2448
SAINT,0.8600,0.8603,0.7739,0.0814,0.2467
T2G,0.8632,0.8613,0.7744,0.0813,0.2416
TabM,0.8579,0.8605,0.7760,0.0812,0.2439
TabMmini-piecewiselinear,0.8563,0.8606,0.7761,0.0811,0.2334
TabR,0.8677,0.8599,0.7730,0.0815,0.2820
TabR-periodic,0.8624,0.8625,0.7723,0.0811,0.2542
XGBoost,0.8545,0.8605,0.7698,0.0825,0.2419
tabrmoev4-drop-periodic,0.8622,0.8562,0.7705,0.0814,0.3225
