dataset,direction,moe-sparse-piecewiselinear,moe-mini-sparse-shared-piecewiselinear,tabrm-piecewiselinear,tabrmv2-piecewiselinear,tabrmv2-periodic,tabrmv2-mini-periodic,tabrmv3-mini-periodic,tabrmoev3-periodic,MLP,ResNet,Trompt,MLP-Mixer,Excel-plugins,SAINT,FT-T,XGBoost,LightGBM,CatBoost,TabR,TabR-periodic,MNCA,MNCA-periodic,TabM,TabMmini-piecewiselinear
churn,higher_is_better,0.8586,0.8554,0.8534,0.8624,0.8608,0.8601,0.8448,0.8138,0.8553,0.8545,0.8600,0.8592,0.8618,0.8603,0.8593,0.8605,0.8600,0.8582,0.8599,0.8625,0.8595,0.8606,0.8605,0.8606
california,lower_is_better,0.4682,0.4633,0.4604,0.4565,0.4634,0.4649,,,0.4948,0.4915,0.4579,0.4746,0.4544,0.4680,0.4635,0.4327,0.4352,0.4294,0.4030,0.3998,0.4239,0.4142,0.4414,0.4275
house,lower_is_better,3.2412,3.2337,3.1844,3.1892,3.2014,3.0866,,,3.1117,3.1143,3.0638,3.1871,3.2460,3.2424,3.1823,3.1773,3.1774,3.1172,3.0667,3.1048,3.0884,3.0704,3.0038,2.9976
adult,higher_is_better,0.8638,0.8637,0.8640,0.8628,0.8675,0.8673,,,0.8540,0.8554,0.8590,0.8598,0.8613,0.8601,0.8588,0.8720,0.8713,0.8714,0.8646,0.8699,0.8677,0.8717,0.8575,0.8700
diamond,lower_is_better,0.1340,0.1349,0.1361,0.1357,0.1371,,,,0.1404,0.1396,0.1391,0.1400,0.1766,0.1369,0.1376,0.1368,0.1359,0.1335,0.1327,0.1333,0.1370,0.1327,0.1310,0.1315
otto,higher_is_better,0.8037,0.8083,0.8113,,,,,,0.8175,0.8174,0.8093,0.8092,0.8102,0.8119,0.8133,0.8297,0.8302,0.8250,0.8179,0.8246,0.8275,0.8265,0.8275,0.8342
higgs-small,higher_is_better,0.7225,0.7171,0.7225,0.7172,0.7250,,,,0.7180,0.7256,0.7262,0.7248,0.7262,0.7236,0.7281,0.7246,0.7256,0.7260,0.7223,0.7294,0.7263,0.7300,0.7394,0.7361
black-friday,lower_is_better,0.6906,0.6879,0.6881,0.6858,0.6864,,,,0.6955,0.6929,0.6983,0.6905,0.6947,0.6934,0.6987,0.6806,0.6799,0.6822,0.6899,0.6761,0.6893,0.6885,0.6869,0.6781
covtype2,higher_is_better,0.9677,0.9666,0.9708,,,,,,0.9630,0.9638,0.9286,0.9663,0.9606,0.9669,0.9698,0.9710,0.9709,0.9670,0.9737,0.9752,0.9724,0.9747,0.9735,0.9755
microsoft,lower_is_better,0.7510,0.7499,,,,,,,0.7475,0.7472,0.7476,0.7482,0.7479,0.7625,0.7460,0.7413,0.7417,0.7412,0.7503,0.7501,0.7458,0.7460,0.7432,0.7423
wine,higher_is_better,,,,,,,,,0.7778,0.7710,0.7818,0.7769,0.7631,0.7684,0.7755,0.7949,0.7890,0.7994,0.7936,0.7804,0.7911,0.7867,0.7943,0.7839
phoneme,higher_is_better,,,,,,,,,0.8525,0.8456,0.8465,0.8629,0.8551,0.8657,0.8667,0.8682,0.8702,0.8827,0.8781,0.8772,0.8835,0.8828,0.8831,0.8780
analcatdata supreme,lower_is_better,,,,,,,,,0.0782,0.0852,0.0782,0.0770,0.0796,0.0773,0.0787,0.0801,0.0778,0.0780,0.0803,0.0807,0.0809,0.0825,0.0786,0.0764
Mercedes Benz Greener Manufacturing,lower_is_better,,,,,,,,,8.3045,8.4434,8.3409,8.2860,8.2244,8.3556,8.2252,8.2177,8.2078,8.1629,8.3506,8.3187,8.2557,8.2557,8.2052,8.2075
KDDCup09 upselling,higher_is_better,,,,,,,,,0.7759,0.7811,0.7994,0.7979,0.7903,0.7942,0.7957,0.7930,0.7932,0.7992,0.7838,0.7908,0.7939,0.7960,0.8024,0.8024
kdd ipums la 97-small,higher_is_better,,,,,,,,,0.8828,0.8823,0.8847,0.8762,0.8803,0.8837,0.8795,0.8825,0.8792,0.8793,0.8798,0.8831,0.8819,0.8837,0.8823,0.8779
wine quality,lower_is_better,,,,,,,,,0.6707,0.6687,0.6605,0.6672,0.6881,0.6797,0.6787,0.6039,0.6135,0.6088,0.6315,0.6412,0.6154,0.6099,0.6328,0.6294
isolet,lower_is_better,,,,,,,,,2.2744,2.2077,2.6219,2.3344,2.8691,2.7696,2.4879,2.7567,2.7005,2.8847,1.9760,1.9919,1.7905,1.8912,1.8433,1.7799
cpu act,lower_is_better,,,,,,,,,2.6814,2.3933,2.2133,2.3079,2.3094,2.2781,2.2394,2.5237,2.2223,2.1239,2.2980,2.1278,2.2603,2.2105,2.1402,2.1391
