,0
TabMmini-piecewiselinear,5.75
TabR-periodic,5.75
MNCA-periodic,6.5
TabMmini,9.0
MLP-periodic,9.25
MLP-periodic−lite,10.0
XGBoost,10.25
TabR,10.5
TabM-batch-shared,11.25
MNCA,11.5
CatBoost,12.5
LightGBM,12.5
TabM-greedy,12.5
TabM,13.5
tabrmv2-piecewiselinear,14.0
tabrmv2-mini-periodic,15.25
T2G,15.75
Trompt,15.75
tabrmv2-periodic,16.0
Excel-plugins,16.0
MLP-piecewiselinear,16.75
tabrm-piecewiselinear,20.5
AutoInt,20.75
SAINT,21.25
FT-T,21.5
MLP-Mixer,22.75
ResNet,25.0
MLP,25.0
DCN2,27.25
SNN,27.75
