,0
TabMmini-piecewiselinear,2.7142857142857144
Trompt,6.571428571428571
TabR-periodic,6.714285714285714
TabM,6.857142857142857
CatBoost,7.428571428571429
MNCA-periodic,7.428571428571429
XGBoost,8.0
TabR,8.428571428571429
SAINT,9.285714285714286
LightGBM,9.428571428571429
MNCA,10.285714285714286
Excel-plugins,10.857142857142858
MLP-Mixer,11.0
FT-T,11.714285714285714
tabrmv4-mini-periodic,13.714285714285714
tabrmv2-piecewiselinear,14.285714285714286
MLP,14.428571428571429
tabrmv4-shared-periodic,14.571428571428571
ResNet,14.714285714285714
