method,OnlineNewsPopularity ↓,churn ↑,credit ↑,ecom-offers ↑,medical_charges ↓,sberbank-housing ↓
MLP-piecewiselinear,5,2,1,1,3,3
MNCA-periodic,7,1,1,4,1,5
TabR-periodic,6,1,2,4,2,6
XGBoost,1,1,2,4,5,4
qreformer-d1-h1-m32,8,2,2,4,7,6
qreformer-deubg-d1-h1-m32,8,2,3,3,5,7
qreformer-deubg-d3-h4-m128-mqa,9,2,2,3,6,7
qreformer-deubg-d3-h4-m32,10,2,3,3,5,7
qreformer-deubg-d3-h4-m96-mqa,10,2,3,3,5,6
qtab-naive-l2-t001,14,5,5,3,8,11
qtab-naive-l2-t02,12,3,2,3,5,9
qtab-naive-l2-t1,9,4,2,1,5,7
qtab-naive-sdp-t001,13,4,4,3,8,9
qtab-naive-sdp-t02,11,3,3,4,6,10
qtab-naive-sdp-t1,6,2,3,3,5,8
tabm,4,1,1,1,4,5
tabm-mini-piecewiselinear,3,1,1,2,2,2
tabm-piecewiselinear,2,1,1,2,2,1
