method,OnlineNewsPopularity ↓,churn ↑,credit ↑,ecom-offers ↑,medical_charges ↓,sberbank-housing ↓
CatBoost,1.0,2.0,1.0,6.0,6.0,5.0
Excel-plugins,8.0,1.0,2.0,5.0,6.0,6.0
FT-T,8.0,2.0,1.0,5.0,5.0,4.0
LightGBM,2.0,2.0,2.0,5.0,7.0,5.0
MLP,10.0,3.0,1.0,1.0,6.0,6.0
MLP-piecewiselinear,6.0,2.0,1.0,2.0,3.0,3.0
MNCA,11.0,2.0,1.0,5.0,2.0,7.0
MNCA-periodic,10.0,1.0,1.0,5.0,1.0,5.0
SAINT,7.0,2.0,1.0,5.0,5.0,5.0
T2G,9.0,1.0,1.0,5.0,5.0,4.0
TabR,12.0,2.0,1.0,2.0,5.0,9.0
TabR-periodic,8.0,1.0,2.0,5.0,2.0,6.0
XGBoost,2.0,1.0,2.0,5.0,8.0,4.0
qreformer-deubg-d1-h1-m32,12.0,2.0,3.0,4.0,8.0,8.0
qreformer-deubg-d3-h4-m32,13.0,2.0,3.0,4.0,7.0,8.0
qtab-naive-cossim,7.0,2.0,2.0,4.0,5.0,6.0
qtabformer-query-1-key-k-value-ky-mha-4,14.0,14.0,14.0,14.0,14.0,8.0
qtabformer-query-1-key-k-value-ky-mqa-4,14.0,1.0,14.0,14.0,14.0,9.0
qtabformer-query-16-key-k-value-ky-mqa-4,14.0,14.0,14.0,14.0,14.0,7.0
qtabformer-query-4-key-k-value-ky-mha-4,14.0,1.0,14.0,14.0,14.0,7.0
qtabformer-query-4-key-k-value-ky-mha-4-moh,14.0,14.0,14.0,14.0,14.0,7.0
qtabformer-query-4-key-k-value-ky-mha-8,14.0,14.0,14.0,14.0,14.0,7.0
qtabformer-query-4-key-k-value-ky-mqa,9.0,1.0,2.0,14.0,8.0,7.0
qtabformer-query-4-key-k-value-ky-mqa-4,14.0,14.0,14.0,14.0,14.0,7.0
qtabformer-query-4-key-k-value-ky-mqa-4-moh,14.0,14.0,14.0,14.0,14.0,5.0
qtabformer-query-4-key-k-value-ky-mqa-8,14.0,14.0,14.0,14.0,14.0,6.0
qtabformer-query-4-key-k-value-ky-mqa-d4,14.0,2.0,14.0,14.0,7.0,7.0
qtabformer-query-4-key-k-value-ky-mqa-moh,9.0,1.0,2.0,14.0,7.0,6.0
qtabformer-query-8-key-k-value-ky-mha-4,14.0,14.0,14.0,14.0,14.0,8.0
qtabformer-query-8-key-k-value-ky-mqa-4,14.0,14.0,14.0,14.0,14.0,7.0
tabm,5.0,1.0,1.0,2.0,4.0,4.0
tabm-mini-piecewiselinear,4.0,1.0,1.0,3.0,2.0,2.0
tabm-piecewiselinear,3.0,1.0,1.0,3.0,2.0,1.0
