method,OnlineNewsPopularity ↓,churn ↑,credit ↑,ecom-offers ↑,medical_charges ↓,sberbank-housing ↓
MLP-piecewiselinear,5.0,2.0,1.0,1.0,3.0,3.0
MNCA-periodic,8.0,1.0,1.0,4.0,1.0,5.0
TabR-periodic,7.0,1.0,2.0,3.0,2.0,6.0
XGBoost,1.0,1.0,2.0,3.0,6.0,4.0
reformer-d1-h1-m32,9.0,2.0,2.0,3.0,8.0,6.0
reformer-d1-h1-m32-aux,9.0,3.0,2.0,4.0,8.0,7.0
reformer-d1-h1-m64,9.0,2.0,3.0,3.0,7.0,7.0
reformer-d3-h4-m32,8.0,2.0,3.0,4.0,7.0,6.0
reformer-d3-h4-m32-adapter,9.0,2.0,3.0,4.0,8.0,7.0
reformer-d3-h4-m32-aux,9.0,2.0,2.0,4.0,10.0,7.0
reformer-d3-h4-m32-mqa,10.0,3.0,3.0,4.0,8.0,5.0
reformer-d3-h4-m32-mqa-adapter,9.0,2.0,3.0,4.0,9.0,7.0
reformer-d3-h4-m64,9.0,1.0,3.0,4.0,7.0,6.0
reformer-d3-h4-m64-mqa,9.0,2.0,3.0,3.0,8.0,6.0
reformer-d3-h4-m96,10.0,1.0,3.0,3.0,7.0,6.0
reformer-d3-h4-m96-mqa,9.0,2.0,2.0,4.0,7.0,6.0
retransformer-periodic,6.0,2.0,3.0,11.0,5.0,7.0
tabm,4.0,1.0,1.0,1.0,4.0,5.0
tabm-mini-piecewiselinear,3.0,1.0,1.0,2.0,2.0,2.0
tabm-piecewiselinear,2.0,1.0,1.0,2.0,2.0,1.0
